t,vwl,vblb,vbl
8.724E-9,0.000,996.0E-3,1.000
8.726E-9,0.000,996.0E-3,1.000
8.729E-9,0.000,996.0E-3,1.000
8.735E-9,0.000,996.1E-3,1.000
8.747E-9,0.000,996.2E-3,1.000
8.771E-9,0.000,996.4E-3,1.000
8.819E-9,0.000,996.9E-3,1.000
8.856E-9,0.000,997.1E-3,1.000
8.862E-9,0.000,997.2E-3,1.000
8.874E-9,0.000,997.3E-3,1.000
8.876E-9,0.000,997.3E-3,1.000
8.879E-9,0.000,997.3E-3,1.000
8.885E-9,0.000,997.3E-3,1.000
8.897E-9,0.000,997.4E-3,1.000
8.921E-9,0.000,997.6E-3,1.000
8.969E-9,0.000,997.8E-3,1.000
9.065E-9,0.000,998.3E-3,1.000
9.152E-9,0.000,998.7E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.240E-9,0.000,998.9E-3,1.000
9.241E-9,0.000,998.9E-3,1.000
9.241E-9,0.000,998.9E-3,1.000
9.242E-9,0.000,998.9E-3,1.000
9.242E-9,0.000,998.9E-3,1.000
9.242E-9,0.000,998.9E-3,1.000
9.243E-9,0.000,998.9E-3,1.000
9.243E-9,0.000,998.9E-3,1.000
9.244E-9,0.000,998.9E-3,1.000
9.244E-9,0.000,998.9E-3,1.000
9.244E-9,0.000,998.9E-3,1.000
9.245E-9,0.000,998.9E-3,1.000
9.245E-9,0.000,998.9E-3,1.000
9.246E-9,0.000,998.9E-3,1.000
9.247E-9,0.000,999.0E-3,1.000
9.249E-9,0.000,999.0E-3,1.000
9.253E-9,0.000,999.0E-3,1.000
9.263E-9,0.000,999.0E-3,1.000
9.281E-9,0.000,999.0E-3,1.000
9.317E-9,0.000,999.1E-3,1.000
9.367E-9,0.000,999.2E-3,1.000
9.424E-9,0.000,999.3E-3,1.000
9.488E-9,0.000,999.4E-3,1.000
9.550E-9,0.000,999.5E-3,1.000
9.550E-9,0.000,999.6E-3,1.000
9.551E-9,0.000,999.7E-3,1.000
9.551E-9,0.000,999.8E-3,1.001
9.552E-9,0.000,999.9E-3,1.001
9.552E-9,0.000,1.000,1.001
9.552E-9,0.000,1.000,1.001
9.553E-9,0.000,1.000,1.002
9.553E-9,0.000,1.000,1.002
9.554E-9,0.000,1.000,1.002
9.554E-9,0.000,1.000,1.002
9.555E-9,0.000,1.000,1.002
9.555E-9,0.000,1.000,1.002
9.555E-9,0.000,1.000,1.002
9.555E-9,0.000,1.000,1.002
9.555E-9,0.000,1.000,1.002
9.555E-9,0.000,1.000,1.002
9.556E-9,0.000,1.000,1.002
9.556E-9,0.000,1.000,1.002
9.558E-9,0.000,1.000,1.002
9.560E-9,0.000,1.000,1.002
9.565E-9,0.000,1.000,1.002
9.575E-9,0.000,1.000,1.002
9.588E-9,0.000,1.000,1.002
9.600E-9,0.000,1.000,1.002
9.600E-9,45.16E-3,1.000,1.002
9.601E-9,95.31E-3,1.000,1.002
9.601E-9,162.0E-3,1.000,1.002
9.601E-9,228.6E-3,1.000,1.002
9.602E-9,295.3E-3,1.000,1.002
9.602E-9,362.0E-3,1.000,1.002
9.603E-9,428.6E-3,1.000,1.002
9.603E-9,495.3E-3,1.000,1.002
9.604E-9,562.0E-3,1.000,1.002
9.604E-9,628.6E-3,1.000,1.002
9.604E-9,695.3E-3,1.000,1.002
